job_index	condition	stage	method	pocket	seed	num_samples	tag
93	iterative	round1	targetdiff	4WA9	109	250	iterative-round1-targetdiff-4wa9-s109-n250-r02
94	iterative	round1	pocket2mol	4WA9	109	250	iterative-round1-pocket2mol-4wa9-s109-n250-r02
95	iterative	round1	diffsbdd	4WA9	109	250	iterative-round1-diffsbdd-4wa9-s109-n250-r02
96	iterative	round1	targetdiff	1M17	83	250	iterative-round1-targetdiff-1m17-s83-n250-r02
97	iterative	round1	pocket2mol	1M17	83	250	iterative-round1-pocket2mol-1m17-s83-n250-r02
98	iterative	round1	diffsbdd	1M17	83	250	iterative-round1-diffsbdd-1m17-s83-n250-r02
99	iterative	round1	targetdiff	1M17	97	250	iterative-round1-targetdiff-1m17-s97-n250-r02
100	iterative	round1	pocket2mol	1M17	97	250	iterative-round1-pocket2mol-1m17-s97-n250-r02
101	iterative	round1	diffsbdd	1M17	97	250	iterative-round1-diffsbdd-1m17-s97-n250-r02
102	iterative	round1	targetdiff	1M17	109	250	iterative-round1-targetdiff-1m17-s109-n250-r02
103	iterative	round1	pocket2mol	1M17	109	250	iterative-round1-pocket2mol-1m17-s109-n250-r02
104	iterative	round1	diffsbdd	1M17	109	250	iterative-round1-diffsbdd-1m17-s109-n250-r02
